timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1783489014175,4,3_타유저프로필조회,200,,Thread Group 1-36,text,true,,486,249,2,2,http://localhost:8081/api/v1/users/c328f4a3-cd55-4e42-b3b5-427580b9c9e1,4,0,0
1783489014173,96,1_로그인,200,,Thread Group 1-37,text,true,,862,295,1,1,http://localhost:8081/api/v1/auth/login,96,0,1
1783489014270,4,2_내프로필조회,200,,Thread Group 1-37,text,true,,557,215,2,2,http://localhost:8081/api/v1/users/me,4,0,0
1783489014274,4,3_타유저프로필조회,200,,Thread Group 1-37,text,true,,486,249,2,2,http://localhost:8081/api/v1/users/9bf8b857-7071-4c62-b0cb-381b9ffdf22b,4,0,0
1783489014272,113,1_로그인,200,,Thread Group 1-38,text,true,,862,295,2,2,http://localhost:8081/api/v1/auth/login,113,0,1
1783489014385,4,2_내프로필조회,200,,Thread Group 1-38,text,true,,557,215,2,2,http://localhost:8081/api/v1/users/me,4,0,0
1783489014390,4,3_타유저프로필조회,200,,Thread Group 1-38,text,true,,486,249,2,2,http://localhost:8081/api/v1/users/793ba5fa-93e7-428b-9e63-9225a90b01b6,4,0,0
1783489014372,99,1_로그인,200,,Thread Group 1-39,text,true,,862,295,1,1,http://localhost:8081/api/v1/auth/login,99,0,1
1783489014471,4,2_내프로필조회,200,,Thread Group 1-39,text,true,,557,215,2,2,http://localhost:8081/api/v1/users/me,4,0,0
1783489014476,3,3_타유저프로필조회,200,,Thread Group 1-39,text,true,,486,249,2,2,http://localhost:8081/api/v1/users/7132f8d7-5b03-44ec-943e-3b53b6a8c25d,3,0,0
1783489014472,95,1_로그인,200,,Thread Group 1-40,text,true,,862,295,1,1,http://localhost:8081/api/v1/auth/login,95,0,1
1783489014567,4,2_내프로필조회,200,,Thread Group 1-40,text,true,,557,215,2,2,http://localhost:8081/api/v1/users/me,4,0,0
1783489014571,5,3_타유저프로필조회,200,,Thread Group 1-40,text,true,,486,249,2,2,http://localhost:8081/api/v1/users/043018be-7584-467e-8e2a-4e429bf71d0f,5,0,0
1783489014570,98,1_로그인,200,,Thread Group 1-41,text,true,,862,295,1,1,http://localhost:8081/api/v1/auth/login,97,0,1
1783489014668,6,2_내프로필조회,200,,Thread Group 1-41,text,true,,557,215,2,2,http://localhost:8081/api/v1/users/me,6,0,0
1783489014674,6,3_타유저프로필조회,200,,Thread Group 1-41,text,true,,486,249,2,2,http://localhost:8081/api/v1/users/062fa4a5-2f6c-4784-b101-bb55d727a792,6,0,0
1783489014669,96,1_로그인,200,,Thread Group 1-42,text,true,,862,295,1,1,http://localhost:8081/api/v1/auth/login,96,0,0
1783489014766,4,2_내프로필조회,200,,Thread Group 1-42,text,true,,557,215,2,2,http://localhost:8081/api/v1/users/me,4,0,0
1783489014770,4,3_타유저프로필조회,200,,Thread Group 1-42,text,true,,486,249,2,2,http://localhost:8081/api/v1/users/73ab9ab7-0d86-4a94-9fea-3aadb3d72847,4,0,0
1783489014767,102,1_로그인,200,,Thread Group 1-43,text,true,,862,295,2,2,http://localhost:8081/api/v1/auth/login,102,0,1
1783489014869,5,2_내프로필조회,200,,Thread Group 1-43,text,true,,557,215,2,2,http://localhost:8081/api/v1/users/me,5,0,0
1783489014874,5,3_타유저프로필조회,200,,Thread Group 1-43,text,true,,486,249,2,2,http://localhost:8081/api/v1/users/b329b7e5-abeb-44fb-8593-f711fc476138,5,0,0
1783489014868,97,1_로그인,200,,Thread Group 1-44,text,true,,862,295,1,1,http://localhost:8081/api/v1/auth/login,97,0,0
1783489014965,4,2_내프로필조회,200,,Thread Group 1-44,text,true,,557,215,2,2,http://localhost:8081/api/v1/users/me,4,0,0
1783489014969,5,3_타유저프로필조회,200,,Thread Group 1-44,text,true,,486,249,2,2,http://localhost:8081/api/v1/users/3353348c-417d-4388-a9bc-05e7f41a3e9b,5,0,0
1783489014969,96,1_로그인,200,,Thread Group 1-45,text,true,,860,294,1,1,http://localhost:8081/api/v1/auth/login,96,0,1
1783489015065,5,2_내프로필조회,200,,Thread Group 1-45,text,true,,555,215,2,2,http://localhost:8081/api/v1/users/me,5,0,0
1783489015071,3,3_타유저프로필조회,200,,Thread Group 1-45,text,true,,485,249,2,2,http://localhost:8081/api/v1/users/830966b9-d316-4728-bcd5-759f5efabd48,3,0,0
1783489015068,94,1_로그인,200,,Thread Group 1-46,text,true,,862,295,1,1,http://localhost:8081/api/v1/auth/login,94,0,1
1783489015163,5,2_내프로필조회,200,,Thread Group 1-46,text,true,,557,215,2,2,http://localhost:8081/api/v1/users/me,5,0,0
1783489015168,4,3_타유저프로필조회,200,,Thread Group 1-46,text,true,,486,249,2,2,http://localhost:8081/api/v1/users/632206f8-6df9-45f3-b30b-0b5f06b2d18d,4,0,0
1783489015166,97,1_로그인,200,,Thread Group 1-47,text,true,,862,295,1,1,http://localhost:8081/api/v1/auth/login,97,0,1
1783489015264,5,2_내프로필조회,200,,Thread Group 1-47,text,true,,557,215,2,2,http://localhost:8081/api/v1/users/me,5,0,0
1783489015269,4,3_타유저프로필조회,200,,Thread Group 1-47,text,true,,486,249,2,2,http://localhost:8081/api/v1/users/97578fa0-eb85-4013-a737-7d94e24d6656,4,0,0
1783489015269,97,1_로그인,200,,Thread Group 1-48,text,true,,862,295,1,1,http://localhost:8081/api/v1/auth/login,97,0,0
1783489015366,4,2_내프로필조회,200,,Thread Group 1-48,text,true,,557,215,2,2,http://localhost:8081/api/v1/users/me,4,0,0
1783489015371,3,3_타유저프로필조회,200,,Thread Group 1-48,text,true,,486,249,2,2,http://localhost:8081/api/v1/users/90955a08-d197-4965-b5c1-bad850439dac,3,0,0
1783489015368,95,1_로그인,200,,Thread Group 1-49,text,true,,862,295,1,1,http://localhost:8081/api/v1/auth/login,95,0,1
1783489015463,5,2_내프로필조회,200,,Thread Group 1-49,text,true,,557,215,1,1,http://localhost:8081/api/v1/users/me,5,0,0
1783489015468,4,3_타유저프로필조회,200,,Thread Group 1-49,text,true,,486,249,2,2,http://localhost:8081/api/v1/users/cdb2c844-e899-411d-8290-0e0259c80507,4,0,0
1783489015469,97,1_로그인,200,,Thread Group 1-50,text,true,,862,295,1,1,http://localhost:8081/api/v1/auth/login,97,0,1
1783489015566,5,2_내프로필조회,200,,Thread Group 1-50,text,true,,557,215,1,1,http://localhost:8081/api/v1/users/me,5,0,0
1783489015572,5,3_타유저프로필조회,200,,Thread Group 1-50,text,true,,486,249,1,1,http://localhost:8081/api/v1/users/2a9e9668-609a-4f0e-8c91-73a2b4697d15,5,0,0
